Ano Censo,Número de Funções Docentes,Abragência Geográfica (IES),Região,UF
2013,367282,BRASIL,,
2013,32718,CENTRO-OESTE,CENTRO-OESTE,
2013,8717,DISTRITO FEDERAL,CENTRO-OESTE,DISTRITO FEDERAL
2013,12936,GOIÁS,CENTRO-OESTE,GOIÁS
2013,6242,MATO GROSSO,CENTRO-OESTE,MATO GROSSO
2013,4823,MATO GROSSO DO SUL,CENTRO-OESTE,MATO GROSSO DO SUL
2013,76768,NORDESTE,NORDESTE,
2013,4562,ALAGOAS,NORDESTE,ALAGOAS
2013,18091,BAHIA,NORDESTE,BAHIA
2013,10793,CEARÁ,NORDESTE,CEARÁ
2013,5914,MARANHÃO,NORDESTE,MARANHÃO
2013,8618,PARAÍBA,NORDESTE,PARAÍBA
2013,13318,PERNAMBUCO,NORDESTE,PERNAMBUCO
2013,5274,PIAUÍ,NORDESTE,PIAUÍ
2013,6812,RIO GRANDE DO NORTE,NORDESTE,RIO GRANDE DO NORTE
2013,3386,SERGIPE,NORDESTE,SERGIPE
2013,22987,NORTE,NORTE,
2013,1233,ACRE,NORTE,ACRE
2013,1337,AMAPÁ,NORTE,AMAPÁ
2013,5259,AMAZONAS,NORTE,AMAZONAS
2013,7903,PARÁ,NORTE,PARÁ
2013,2969,RONDÔNIA,NORTE,RONDÔNIA
2013,1252,RORAIMA,NORTE,RORAIMA
2013,3034,TOCANTINS,NORTE,TOCANTINS
2013,163933,SUDESTE,SUDESTE,
2013,6833,ESPÍRITO SANTO,SUDESTE,ESPÍRITO SANTO
2013,41360,MINAS GERAIS,SUDESTE,MINAS GERAIS
2013,31160,RIO DE JANEIRO,SUDESTE,RIO DE JANEIRO
2013,84580,SÃO PAULO,SUDESTE,SÃO PAULO
2013,70876,SUL,SUL,
2013,28603,PARANÁ,SUL,PARANÁ
2013,24499,RIO GRANDE DO SUL,SUL,RIO GRANDE DO SUL
2013,17774,SANTA CATARINA,SUL,SANTA CATARINA
